id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
167,Mariusz Magiera, Obronca,"1,60",GKS Belchatow,,Podbeskidzie Bielsko-Biala,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
167,Mariusz Magiera, Obronca,"1,60",GKS Belchatow,,Podbeskidzie Bielsko-Biala,Polska,2017/18 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
1101,Patryk Makuch, Pomocnik,"1,60",GKS Belchatow,,Miedz Legnica,Polska,2019/20 - wiosna,298,1,0,0,0,0,0,0,0,2,0,18
1101,Patryk Makuch, Pomocnik,"1,60",GKS Belchatow,,Miedz Legnica,Polska,2019/20 - jesien,1238,1,1,0,0,0,1,0,0,0,0,62
55,Adam Makuchowski, Bramkarz,"0,50",Chrobry Glogow,,ROW 1964 Rybnik,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
55,Adam Makuchowski, Bramkarz,"0,50",Chrobry Glogow,,ROW 1964 Rybnik,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
55,Adam Makuchowski, Bramkarz,"0,50",Chrobry Glogow,,ROW 1964 Rybnik,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
55,Adam Makuchowski, Bramkarz,"0,50",Chrobry Glogow,,ROW 1964 Rybnik,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
55,Adam Makuchowski, Bramkarz,"0,50",Chrobry Glogow,,ROW 1964 Rybnik,Polska,2017/18 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
97,Pawel Mandrysz, Pomocnik,"1,50",Sandecja Nowy Sacz,,ROW 1964 Rybnik,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
97,Pawel Mandrysz, Pomocnik,"1,50",Sandecja Nowy Sacz,,ROW 1964 Rybnik,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
97,Pawel Mandrysz, Pomocnik,"1,50",Sandecja Nowy Sacz,,ROW 1964 Rybnik,Polska,2017/18 - wiosna,279,0,0,0,0,0,0,0,0,0,0,15
72,Robert Mandrysz, Pomocnik,"1,70",Chrobry Glogow,,Bytovia Bytow,Polska,2019/20 - wiosna,1009,2,0,0,0,0,0,0,0,2,0,45
72,Robert Mandrysz, Pomocnik,"1,70",Chrobry Glogow,,Bytovia Bytow,Polska,2019/20 - jesien,1230,0,1,0,0,0,0,0,0,4,0,43
72,Robert Mandrysz, Pomocnik,"1,70",Chrobry Glogow,,Bytovia Bytow,Polska,2018/19 - wiosna,1041,0,0,0,0,0,0,0,0,3,0,36
72,Robert Mandrysz, Pomocnik,"1,70",Chrobry Glogow,,Bytovia Bytow,Polska,2018/19 - jesien,821,0,0,0,0,0,0,0,0,3,0,34
