Player;Link;;
Kuzimski Mateusz;https://fantasy.ekstraklasa.org/player/1520;33;1520
Lagator Dušan;https://fantasy.ekstraklasa.org/player/1512;33;1512
Laskowski Adrian;https://fantasy.ekstraklasa.org/player/1454;33;1454
Laskowski Filip;https://fantasy.ekstraklasa.org/player/1423;33;1423
Lederman Ben;https://fantasy.ekstraklasa.org/player/1373;33;1373
Lesniak Filip;https://fantasy.ekstraklasa.org/player/1500;33;1500
Leszczyński Arkadiusz;https://fantasy.ekstraklasa.org/player/1410;33;1410
Leszczyński Patryk;https://fantasy.ekstraklasa.org/player/1504;33;1504
Leszczyński Rafał;https://fantasy.ekstraklasa.org/player/1411;33;1411
Lewandowski Mateusz;https://fantasy.ekstraklasa.org/player/1501;33;1501
Lewczuk Igor;https://fantasy.ekstraklasa.org/player/200;33;200
Lewkot Szymon;https://fantasy.ekstraklasa.org/player/1550;33;1550
Lipski Patryk;https://fantasy.ekstraklasa.org/player/293;33;293
Lis Adrian;https://fantasy.ekstraklasa.org/player/1450;33;1450
Lis Mateusz;https://fantasy.ekstraklasa.org/player/1026;33;1026
Lisowski Wojciech;https://fantasy.ekstraklasa.org/player/1440;33;1440
Listkowski Marcin;https://fantasy.ekstraklasa.org/player/278;33;278
Lopes Rafael;https://fantasy.ekstraklasa.org/player/1189;33;1189
Loshaj Florian;https://fantasy.ekstraklasa.org/player/1330;33;1330
Lukoszek Kamil;https://fantasy.ekstraklasa.org/player/1471;33;1471
Luquinhas Lucas;https://fantasy.ekstraklasa.org/player/1285;33;1285
Lusiusz Sylwester;https://fantasy.ekstraklasa.org/player/757;33;757
López Huesca Rubén;https://fantasy.ekstraklasa.org/player/1190;33;1190
López Iván;https://fantasy.ekstraklasa.org/player/1539;33;1539
Majchrowicz Filip;https://fantasy.ekstraklasa.org/player/4;33;4
Mak Mateusz;https://fantasy.ekstraklasa.org/player/243;33;243
Mak Michał;https://fantasy.ekstraklasa.org/player/179;33;179
Makowski Rafał;https://fantasy.ekstraklasa.org/player/963;33;963
Makowski Tomasz;https://fantasy.ekstraklasa.org/player/1055;33;1055
Makuszewski Maciej;https://fantasy.ekstraklasa.org/player/150;33;150
Malarczyk Piotr;https://fantasy.ekstraklasa.org/player/501;33;501
Malec Mariusz;https://fantasy.ekstraklasa.org/player/1015;33;1015
Malenica Marko;https://fantasy.ekstraklasa.org/player/1511;33;1511
Malinowski Piotr;https://fantasy.ekstraklasa.org/player/1265;33;1265
Maloča Mario;https://fantasy.ekstraklasa.org/player/167;33;167
Mamić Petar;https://fantasy.ekstraklasa.org/player/1546;33;1546
Maniás Michális;https://fantasy.ekstraklasa.org/player/1253;33;1253
Manneh Alasana;https://fantasy.ekstraklasa.org/player/1300;33;1300
Marchwiński Filip;https://fantasy.ekstraklasa.org/player/1094;33;1094
Martins André;https://fantasy.ekstraklasa.org/player/1087;33;1087
Martín Iván;https://fantasy.ekstraklasa.org/player/1431;33;1431
Marzec Mateusz;https://fantasy.ekstraklasa.org/player/1424;33;1424
Mas Maciej;https://fantasy.ekstraklasa.org/player/1473;33;1473
Massoúras Giánnis;https://fantasy.ekstraklasa.org/player/1534;33;1534
Mata Luís;https://fantasy.ekstraklasa.org/player/1483;33;1483
Matras Mateusz;https://fantasy.ekstraklasa.org/player/272;33;272
Matynia Hubert;https://fantasy.ekstraklasa.org/player/260;33;260
Maćkowiak Mateusz;https://fantasy.ekstraklasa.org/player/1372;33;1372
Maćkowski Rafał;https://fantasy.ekstraklasa.org/player/818;33;818
Małek Filip;https://fantasy.ekstraklasa.org/player/1456;33;1456
Mehremić Adi;https://fantasy.ekstraklasa.org/player/1516;33;1516
Merebaszwili Giorgi;https://fantasy.ekstraklasa.org/player/487;33;487
Miakuszko Serhij;https://fantasy.ekstraklasa.org/player/1552;33;1552
Michalski Damian;https://fantasy.ekstraklasa.org/player/1280;33;1280
Michalski Kacper;https://fantasy.ekstraklasa.org/player/1037;33;1037
Mihalik Jaroslav;https://fantasy.ekstraklasa.org/player/532;33;532
Mikołajewski Daniel;https://fantasy.ekstraklasa.org/player/1006;33;1006
Milašius Titas;https://fantasy.ekstraklasa.org/player/1281;33;1281
Milewski Sebastian;https://fantasy.ekstraklasa.org/player/964;33;964
Miszta Cezary;https://fantasy.ekstraklasa.org/player/1217;33;1217
Mladenović Filip;https://fantasy.ekstraklasa.org/player/786;33;786
Mleczko Miłosz;https://fantasy.ekstraklasa.org/player/1206;33;1206
Modelski Filip;https://fantasy.ekstraklasa.org/player/1417;33;1417
Moder Jakub;https://fantasy.ekstraklasa.org/player/1211;33;1211
Mokwa Tomasz;https://fantasy.ekstraklasa.org/player/231;33;231
Moskiewicz Patryk;https://fantasy.ekstraklasa.org/player/1278;33;1278
Mosór Ariel;https://fantasy.ekstraklasa.org/player/1386;33;1386
Mroczko Szymon;https://fantasy.ekstraklasa.org/player/1418;33;1418
Mruk Bartłomiej;https://fantasy.ekstraklasa.org/player/1484;33;1484
Mráz Samuel;https://fantasy.ekstraklasa.org/player/1522;33;1522
Muhar Karlo;https://fantasy.ekstraklasa.org/player/1212;33;1212
Musiolik Sebastian;https://fantasy.ekstraklasa.org/player/1269;33;1269
Musonda Lubambo;https://fantasy.ekstraklasa.org/player/1137;33;1137
Muzyk Wojciech;https://fantasy.ekstraklasa.org/player/1289;33;1289
Mystkowski Przemysław;https://fantasy.ekstraklasa.org/player/81;33;81
Myszor Jakub;https://fantasy.ekstraklasa.org/player/1469;33;1469
Márquez Iván;https://fantasy.ekstraklasa.org/player/1072;33;1072
Mączyński Krzysztof;https://fantasy.ekstraklasa.org/player/371;33;371
Nalepa Michał;https://fantasy.ekstraklasa.org/player/681;33;681
