Round,Team_home,Team_home_abr,Score_home,Result_home,Team_away,Team_away_abr,Score_away,Result_away
10,Slask Wroclaw,SLA,0,D,Gornik Zabrze,GOR,0,D
10,Pogon Szczecin,POG,1,D,Podbeskidzie Bielsko-Biala,POD,1,D
10,KGHM Zaglebie Lubin,ZAG,2,D,PGE FKS Stal Mielec,STM,2,D
10,Warta Poznan,WAR,2,W,Wisla Krakow,WIS,1,L
10,Lech Poznan,LPO,3,D,Rakow Czestochowa,RCZ,3,D
10,Cracovia,CRA,0,L,Legia Warszawa,LEG,1,W
10,Piast Gliwice,PIA,2,W,Lechia Gdansk,LGD,0,L
10,Jagiellonia Bialystok,JAG,5,W,Wisla Plock,WPL,2,L
11,Wisla Plock,WPL,0,L,Cracovia,CRA,1,W
11,Gornik Zabrze,GOR,2,W,Pogon Szczecin,POG,1,L
11,PGE FKS Stal Mielec,STM,3,W,Jagiellonia Bialystok,JAG,1,L
11,Podbeskidzie Bielsko-Biala,POD,0,L,Slask Wroclaw,SLA,2,W
11,Wisla Krakow,WIS,1,L,KGHM Zaglebie Lubin,ZAG,2,W
11,Rakow Czestochowa,RCZ,1,W,Warta Poznan,WAR,0,L
11,Legia Warszawa,LEG,2,D,Piast Gliwice,PIA,2,D
11,Lechia Gdansk,LGD,0,L,Lech Poznan,LPO,1,W
12,Cracovia,CRA,1,D,Wisla Krakow,WIS,1,D
12,Jagiellonia Bialystok,JAG,4,W,Warta Poznan,WAR,3,L
12,Slask Wroclaw,SLA,1,W,Rakow Czestochowa,RCZ,0,L
12,Legia Warszawa,LEG,2,W,Lechia Gdansk,LGD,0,L
12,Piast Gliwice,PIA,1,D,KGHM Zaglebie Lubin,ZAG,1,D
12,Lech Poznan,LPO,4,W,Podbeskidzie Bielsko-Biala,POD,0,L
12,Pogon Szczecin,POG,2,W,PGE FKS Stal Mielec,STM,0,L
12,Wisla Plock,WPL,0,L,Gornik Zabrze,GOR,1,W
13,Podbeskidzie Bielsko-Biala,POD,-,-,Piast Gliwice,PIA,-,-
13,KGHM Zaglebie Lubin,ZAG,-,-,Slask Wroclaw,SLA,-,-
13,Warta Poznan,WAR,-,-,Pogon Szczecin,POG,-,-
13,Gornik Zabrze,GOR,-,-,Cracovia,CRA,-,-
13,Wisla Krakow,WIS,-,-,Legia Warszawa,LEG,-,-
13,PGE FKS Stal Mielec,STM,-,-,Lech Poznan,LPO,-,-
13,Rakow Czestochowa,RCZ,-,-,Jagiellonia Bialystok,JAG,-,-
13,Lechia Gdansk,LGD,-,-,Wisla Plock,WPL,-,-
14,Slask Wroclaw,SLA,-,-,Warta Poznan,WAR,-,-
14,Wisla Plock,WPL,-,-,Podbeskidzie Bielsko-Biala,POD,-,-
14,Legia Warszawa,LEG,-,-,PGE FKS Stal Mielec,STM,-,-
14,Pogon Szczecin,POG,-,-,KGHM Zaglebie Lubin,ZAG,-,-
14,Cracovia,CRA,-,-,Lechia Gdansk,LGD,-,-
14,Lech Poznan,LPO,-,-,Wisla Krakow,WIS,-,-
14,Piast Gliwice,PIA,-,-,Rakow Czestochowa,RCZ,-,-
14,Jagiellonia Bialystok,JAG,-,-,Gornik Zabrze,GOR,-,-
15,KGHM Zaglebie Lubin,ZAG,-,-,Wisla Plock,WPL,-,-
15,Warta Poznan,WAR,-,-,Cracovia,CRA,-,-
15,Lechia Gdansk,LGD,-,-,Jagiellonia Bialystok,JAG,-,-
15,Gornik Zabrze,GOR,-,-,Lech Poznan,LPO,-,-
15,Rakow Czestochowa,RCZ,-,-,Pogon Szczecin,POG,-,-
15,Wisla Krakow,WIS,-,-,Piast Gliwice,PIA,-,-
15,Podbeskidzie Bielsko-Biala,POD,-,-,Legia Warszawa,LEG,-,-
15,PGE FKS Stal Mielec,STM,-,-,Slask Wroclaw,SLA,-,-
16,Lech Poznan,LPO,-,-,KGHM Zaglebie Lubin,ZAG,-,-
16,Legia Warszawa,LEG,-,-,Rakow Czestochowa,RCZ,-,-
16,Piast Gliwice,PIA,-,-,Slask Wroclaw,SLA,-,-
16,Podbeskidzie Bielsko-Biala,POD,-,-,Gornik Zabrze,GOR,-,-
16,Pogon Szczecin,POG,-,-,Cracovia,CRA,-,-
16,PGE FKS Stal Mielec,STM,-,-,Wisla Plock,WPL,-,-
16,Wisla Krakow,WIS,-,-,Jagiellonia Bialystok,JAG,-,-
16,Lechia Gdansk,LGD,-,-,Warta Poznan,WAR,-,-
17,Cracovia,CRA,-,-,Podbeskidzie Bielsko-Biala,POD,-,-
17,Gornik Zabrze,GOR,-,-,PGE FKS Stal Mielec,STM,-,-
17,Jagiellonia Bialystok,JAG,-,-,Legia Warszawa,LEG,-,-
17,Pogon Szczecin,POG,-,-,Piast Gliwice,PIA,-,-
17,Rakow Czestochowa,RCZ,-,-,Lechia Gdansk,LGD,-,-
17,Wisla Plock,WPL,-,-,Lech Poznan,LPO,-,-
17,Slask Wroclaw,SLA,-,-,Wisla Krakow,WIS,-,-
17,Warta Poznan,WAR,-,-,KGHM Zaglebie Lubin,ZAG,-,-
18,KGHM Zaglebie Lubin,ZAG,-,-,Rakow Czestochowa,RCZ,-,-
18,Lech Poznan,LPO,-,-,Slask Wroclaw,SLA,-,-
18,Lechia Gdansk,LGD,-,-,Gornik Zabrze,GOR,-,-
18,Legia Warszawa,LEG,-,-,Wisla Plock,WPL,-,-
18,Podbeskidzie Bielsko-Biala,POD,-,-,Jagiellonia Bialystok,JAG,-,-
18,PGE FKS Stal Mielec,STM,-,-,Cracovia,CRA,-,-
18,Wisla Krakow,WIS,-,-,Pogon Szczecin,POG,-,-
18,Piast Gliwice,PIA,-,-,Warta Poznan,WAR,-,-
19,Cracovia,CRA,-,-,KGHM Zaglebie Lubin,ZAG,-,-
19,Gornik Zabrze,GOR,-,-,Legia Warszawa,LEG,-,-
19,Jagiellonia Bialystok,JAG,-,-,Piast Gliwice,PIA,-,-
19,Rakow Czestochowa,RCZ,-,-,Podbeskidzie Bielsko-Biala,POD,-,-
19,PGE FKS Stal Mielec,STM,-,-,Lechia Gdansk,LGD,-,-
19,Wisla Plock,WPL,-,-,Wisla Krakow,WIS,-,-
19,Slask Wroclaw,SLA,-,-,Pogon Szczecin,POG,-,-
19,Warta Poznan,WAR,-,-,Lech Poznan,LPO,-,-
20,KGHM Zaglebie Lubin,ZAG,-,-,Jagiellonia Bialystok,JAG,-,-
20,Piast Gliwice,PIA,-,-,PGE FKS Stal Mielec,STM,-,-
20,Podbeskidzie Bielsko-Biala,POD,-,-,Lechia Gdansk,LGD,-,-
20,Pogon Szczecin,POG,-,-,Lech Poznan,LPO,-,-
20,Rakow Czestochowa,RCZ,-,-,Cracovia,CRA,-,-
