round;team;team_abr;home_away;score;result
20;Wisla Krakow;WIS;H;- : -;-
20;Gornik Zabrze;GOR;A;- : -;-
20;Slask Wroclaw;SLA;H;- : -;-
20;Legia Warszawa;LEG;A;- : -;-
20;Warta Poznan;WAR;H;- : -;-
20;Wisla Plock;WPL;A;- : -;-
21;Cracovia;CRA;H;- : -;-
21;Slask Wroclaw;SLA;A;- : -;-
21;Gornik Zabrze;GOR;H;- : -;-
21;KGHM Zaglebie Lubin;ZAG;A;- : -;-
21;Jagiellonia Bialystok;JAG;H;- : -;-
21;Pogon Szczecin;POG;A;- : -;-
21;Lech Poznan;LPO;H;- : -;-
21;Piast Gliwice;PIA;A;- : -;-
21;Lechia Gdansk;LGD;H;- : -;-
21;Wisla Krakow;WIS;A;- : -;-
21;PGE FKS Stal Mielec;STM;H;- : -;-
21;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
21;Wisla Krakow;WIS;H;- : -;-
21;Rakow Czestochowa;RCZ;A;- : -;-
21;Legia Warszawa;LEG;H;- : -;-
21;Warta Poznan;WAR;A;- : -;-
22;KGHM Zaglebie Lubin;ZAG;H;- : -;-
22;Legia Warszawa;LEG;A;- : -;-
22;Lech Poznan;LPO;H;- : -;-
22;Jagiellonia Bialystok;JAG;A;- : -;-
22;Piast Gliwice;PIA;H;- : -;-
22;Cracovia;CRA;A;- : -;-
22;Pogon Szczecin;POG;H;- : -;-
22;Lechia Gdansk;LGD;A;- : -;-
22;Rakow Czestochowa;RCZ;H;- : -;-
22;Gornik Zabrze;GOR;A;- : -;-
22;Wisla Krakow;WIS;H;- : -;-
22;PGE FKS Stal Mielec;STM;A;- : -;-
22;Slask Wroclaw;SLA;H;- : -;-
22;Wisla Plock;WPL;A;- : -;-
22;Warta Poznan;WAR;H;- : -;-
22;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
23;Cracovia;CRA;H;- : -;-
23;Lech Poznan;LPO;A;- : -;-
23;Jagiellonia Bialystok;JAG;H;- : -;-
23;Slask Wroclaw;SLA;A;- : -;-
23;Lechia Gdansk;LGD;H;- : -;-
23;KGHM Zaglebie Lubin;ZAG;A;- : -;-
23;Legia Warszawa;LEG;H;- : -;-
23;Pogon Szczecin;POG;A;- : -;-
23;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
23;Wisla Krakow;WIS;A;- : -;-
23;PGE FKS Stal Mielec;STM;H;- : -;-
23;Rakow Czestochowa;RCZ;A;- : -;-
23;Wisla Plock;WPL;H;- : -;-
23;Piast Gliwice;PIA;A;- : -;-
23;Gornik Zabrze;GOR;H;- : -;-
23;Warta Poznan;WAR;A;- : -;-
24;Jagiellonia Bialystok;JAG;H;- : -;-
24;Cracovia;CRA;A;- : -;-
24;KGHM Zaglebie Lubin;ZAG;H;- : -;-
24;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
24;Lech Poznan;LPO;H;- : -;-
24;Legia Warszawa;LEG;A;- : -;-
24;Piast Gliwice;PIA;H;- : -;-
24;Gornik Zabrze;GOR;A;- : -;-
24;Pogon Szczecin;POG;H;- : -;-
24;Wisla Plock;WPL;A;- : -;-
24;Wisla Krakow;WIS;H;- : -;-
24;Rakow Czestochowa;RCZ;A;- : -;-
24;Slask Wroclaw;SLA;H;- : -;-
24;Lechia Gdansk;LGD;A;- : -;-
24;Warta Poznan;WAR;H;- : -;-
24;PGE FKS Stal Mielec;STM;A;- : -;-
25;Gornik Zabrze;GOR;H;- : -;-
25;Slask Wroclaw;SLA;A;- : -;-
25;Lechia Gdansk;LGD;H;- : -;-
25;Piast Gliwice;PIA;A;- : -;-
25;Legia Warszawa;LEG;H;- : -;-
25;Cracovia;CRA;A;- : -;-
25;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
25;Pogon Szczecin;POG;A;- : -;-
25;Rakow Czestochowa;RCZ;H;- : -;-
25;Lech Poznan;LPO;A;- : -;-
25;PGE FKS Stal Mielec;STM;H;- : -;-
25;KGHM Zaglebie Lubin;ZAG;A;- : -;-
25;Wisla Plock;WPL;H;- : -;-
25;Jagiellonia Bialystok;JAG;A;- : -;-
25;Wisla Krakow;WIS;H;- : -;-
25;Warta Poznan;WAR;A;- : -;-
26;Cracovia;CRA;H;- : -;-
26;Wisla Plock;WPL;A;- : -;-
26;Jagiellonia Bialystok;JAG;H;- : -;-
26;PGE FKS Stal Mielec;STM;A;- : -;-
26;KGHM Zaglebie Lubin;ZAG;H;- : -;-
26;Wisla Krakow;WIS;A;- : -;-
26;Lech Poznan;LPO;H;- : -;-
26;Lechia Gdansk;LGD;A;- : -;-
26;Piast Gliwice;PIA;H;- : -;-
26;Legia Warszawa;LEG;A;- : -;-
26;Pogon Szczecin;POG;H;- : -;-
26;Gornik Zabrze;GOR;A;- : -;-
26;Slask Wroclaw;SLA;H;- : -;-
26;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
26;Warta Poznan;WAR;H;- : -;-
26;Rakow Czestochowa;RCZ;A;- : -;-
27;Gornik Zabrze;GOR;H;- : -;-
27;Wisla Plock;WPL;A;- : -;-
27;KGHM Zaglebie Lubin;ZAG;H;- : -;-
27;Piast Gliwice;PIA;A;- : -;-
27;Lechia Gdansk;LGD;H;- : -;-
27;Legia Warszawa;LEG;A;- : -;-
27;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
27;Lech Poznan;LPO;A;- : -;-
27;Rakow Czestochowa;RCZ;H;- : -;-
27;Slask Wroclaw;SLA;A;- : -;-
27;PGE FKS Stal Mielec;STM;H;- : -;-
27;Pogon Szczecin;POG;A;- : -;-
27;Wisla Krakow;WIS;H;- : -;-
27;Cracovia;CRA;A;- : -;-
27;Warta Poznan;WAR;H;- : -;-
27;Jagiellonia Bialystok;JAG;A;- : -;-
28;Cracovia;CRA;H;- : -;-
28;Gornik Zabrze;GOR;A;- : -;-
28;Jagiellonia Bialystok;JAG;H;- : -;-
28;Rakow Czestochowa;RCZ;A;- : -;-
28;Lech Poznan;LPO;H;- : -;-
28;PGE FKS Stal Mielec;STM;A;- : -;-
28;Legia Warszawa;LEG;H;- : -;-
28;Wisla Krakow;WIS;A;- : -;-
28;Piast Gliwice;PIA;H;- : -;-
28;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
28;Wisla Plock;WPL;H;- : -;-
28;Lechia Gdansk;LGD;A;- : -;-
28;Slask Wroclaw;SLA;H;- : -;-
28;KGHM Zaglebie Lubin;ZAG;A;- : -;-
28;Pogon Szczecin;POG;H;- : -;-
28;Warta Poznan;WAR;A;- : -;-
29;Gornik Zabrze;GOR;H;- : -;-
29;Jagiellonia Bialystok;JAG;A;- : -;-
29;KGHM Zaglebie Lubin;ZAG;H;- : -;-
29;Pogon Szczecin;POG;A;- : -;-
29;Lechia Gdansk;LGD;H;- : -;-
29;Cracovia;CRA;A;- : -;-
29;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
29;Wisla Plock;WPL;A;- : -;-
29;Rakow Czestochowa;RCZ;H;- : -;-
29;Piast Gliwice;PIA;A;- : -;-
29;PGE FKS Stal Mielec;STM;H;- : -;-
29;Legia Warszawa;LEG;A;- : -;-
29;Wisla Krakow;WIS;H;- : -;-
29;Lech Poznan;LPO;A;- : -;-
29;Warta Poznan;WAR;H;- : -;-
29;Slask Wroclaw;SLA;A;- : -;-
30;Jagiellonia Bialystok;JAG;H;- : -;-
30;Lechia Gdansk;LGD;A;- : -;-
30;Lech Poznan;LPO;H;- : -;-
30;Gornik Zabrze;GOR;A;- : -;-
30;Legia Warszawa;LEG;H;- : -;-
30;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
30;Piast Gliwice;PIA;H;- : -;-
30;Wisla Krakow;WIS;A;- : -;-
30;Pogon Szczecin;POG;H;- : -;-
30;Rakow Czestochowa;RCZ;A;- : -;-
30;Wisla Plock;WPL;H;- : -;-
30;KGHM Zaglebie Lubin;ZAG;A;- : -;-
30;Slask Wroclaw;SLA;H;- : -;-
30;PGE FKS Stal Mielec;STM;A;- : -;-
30;Cracovia;CRA;H;- : -;-
30;Warta Poznan;WAR;A;- : -;-
