id,name,position,club,value,points,season
831,Dawid Pakulski,3,16,1.5,12,2019/20 - wiosna
1194,Aleksander Paluszek,2,2,0.5,2,2019/20 - wiosna
1011,Piotr Parzyszek,4,7,2.7,72,2019/20 - wiosna
311,Mariusz Pawelec,2,11,1.5,0,2019/20 - wiosna
1369,Aleksander Pawlak,3,15,0.5,6,2019/20 - wiosna
819,Damian Pawlowski,3,12,1.0,3,2019/20 - wiosna
653,Dariusz Pawlowski,4,2,0.5,8,2019/20 - wiosna
1362,Tomas Pekhart,4,4,3.0,48,2019/20 - wiosna
10,Kamil Pestka,2,1,1.9,30,2019/20 - wiosna
1295,Adrian Petk,3,5,0.5,0,2019/20 - wiosna
1259,Tomas Petrasek,2,10,2.1,46,2019/20 - wiosna
100,Michal Peskovic,1,8,1.9,28,2019/20 - wiosna
322,Robert Pich,3,11,2.4,53,2019/20 - wiosna
361,Rafal Pietrzak,2,5,1.8,24,2019/20 - wiosna
1184,Mateusz Pienczak,2,1,0.5,0,2019/20 - wiosna
806,Daniel Pik,3,1,0.8,2,2019/20 - wiosna
625,Filip Piszczek,4,1,1.6,0,2019/20 - wiosna
1126,Kamil Piatkowski,2,10,1.7,36,2019/20 - wiosna
790,Frantisek Plach,1,7,2.3,72,2019/20 - wiosna
1076,Tomas Podstawski,3,9,1.8,37,2019/20 - wiosna
1091,Marko Poletanovic,3,10,1.5,14,2019/20 - wiosna
769,Konrad Poprawa,2,11,0.5,0,2019/20 - wiosna
1088,Lukasz Poreba,3,16,1.6,29,2019/20 - wiosna
713,Martin Pospisil,3,3,2.1,54,2019/20 - wiosna
1136,Mateusz Praszelik,3,11,1.2,2,2019/20 - wiosna
1287,Tomas Prikryl,3,3,1.8,30,2019/20 - wiosna
1348,Roman Prochazka,3,2,1.9,34,2019/20 - wiosna
556,Tymoteusz Puchacz,2,6,2.0,53,2019/20 - wiosna
1272,Israel Puerto,2,11,1.9,32,2019/20 - wiosna
1351,Jakov Puljic,4,3,2.5,54,2019/20 - wiosna
133,Matus Putnocky,1,11,2.0,46,2019/20 - wiosna
1232,Piotr Pyrdol,3,15,0.5,4,2019/20 - wiosna
1186,Michal Rakoczy,3,1,1.0,8,2019/20 - wiosna
1245,Michal Rakowiecki,3,7,0.5,0,2019/20 - wiosna
1233,Dani Ramirez,3,6,3.2,84,2019/20 - wiosna
705,Damian Rasak,3,15,1.6,18,2019/20 - wiosna
1234,Adam Ratajczyk,3,16,1.5,35,2019/20 - wiosna
1113,Luis Rocha,2,4,1.9,20,2019/20 - wiosna
1331,Thiago Rodrigues de Souza,3,1,1.7,18,2019/20 - wiosna
783,Thomas Rogne,2,6,2.0,18,2019/20 - wiosna
86,Taras Romanczuk,3,3,1.9,46,2019/20 - wiosna
1322,Maciej Rosolek,4,4,1.7,22,2019/20 - wiosna
1196,Michal Rostkowski,3,2,1.0,1,2019/20 - wiosna
65,Ivan Runje,2,3,1.9,42,2019/20 - wiosna
989,Adam Ryczkowski,4,2,1.4,13,2019/20 - wiosna
107,Bartosz Rymaniak,2,7,1.9,23,2019/20 - wiosna
202,Jakub Rzezniczak,2,15,1.6,11,2019/20 - wiosna
508,Cornel Rapa,2,1,2.0,38,2019/20 - wiosna
787,William Remy,2,4,2.1,6,2019/20 - wiosna
362,Maciej Sadlok,2,14,2.0,61,2019/20 - wiosna
1367,Kenny Saief,3,5,1.8,26,2019/20 - wiosna
1092,Piotr Samiec-Talar,4,11,0.5,8,2019/20 - wiosna
972,Vamara Sanogo,4,4,1.7,7,2019/20 - wiosna
1084,Matheus Santos,3,1,1.0,0,2019/20 - wiosna
245,Igor Sapala,3,10,1.8,46,2019/20 - wiosna
773,Mathieu Scalet,3,11,1.2,2,2019/20 - wiosna
1268,Petr Schwarz,3,10,2.1,73,2019/20 - wiosna
576,Cillian Sheridan,4,15,1.7,43,2019/20 - wiosna
445,Bartlomiej Sielewski,2,15,1.4,1,2019/20 - wiosna
1299,Jean Carlos Silva,3,14,1.7,1,2019/20 - wiosna
720,Michal Siplak,2,1,1.8,14,2019/20 - wiosna
1284,Rok Sirk,4,16,1.5,8,2019/20 - wiosna
1219,Kacper Skibicki,3,4,0.7,0,2019/20 - wiosna
1213,Michal Skoras,3,6,1.5,11,2019/20 - wiosna
574,Bartosz Slisz,3,4,1.8,23,2019/20 - wiosna
1251,Kacper Smolinski,3,9,0.9,12,2019/20 - wiosna
1012,Patryk Sokolowski,3,7,1.7,38,2019/20 - wiosna
1199,Mateusz Spychala,2,13,1.5,27,2019/20 - wiosna
399,Filip Starzynski,3,16,3.0,87,2019/20 - wiosna
1359,Aleksander Stawiarz,4,3,0.5,1,2019/20 - wiosna
1016,David Stec,2,9,1.8,24,2019/20 - wiosna
1292,Dominik Steczyk,4,7,1.2,8,2019/20 - wiosna
1247,Dante Stipica,1,9,2.0,53,2019/20 - wiosna
168,Pawel Stolarski,2,4,1.8,11,2019/20 - wiosna
1290,Karol Struski,3,3,0.5,2,2019/20 - wiosna
776,Sebastian Strozik,4,1,1.3,3,2019/20 - wiosna
1323,Mateusz Supryn,3,1,0.5,0,2019/20 - wiosna
1398,Jakub Sypek,3,16,0.5,3,2019/20 - wiosna
816,Milosz Szczepanski,3,10,1.7,24,2019/20 - wiosna
1023,Dariusz Szczerbal,1,11,0.6,0,2019/20 - wiosna
1401,Kryspin Szczesniak,2,9,0.5,0,2019/20 - wiosna
1203,Daniel Szelagowski,3,10,1.5,28,2019/20 - wiosna
224,Jakub Szmatula,1,7,1.8,0,2019/20 - wiosna
1152,Dawid Szot,2,14,0.6,5,2019/20 - wiosna
1383,Marcin Szpakowski,3,11,0.5,1,2019/20 - wiosna
1254,Jakub Szumski,1,10,1.6,40,2019/20 - wiosna
431,Mateusz Szwoch,3,15,1.9,48,2019/20 - wiosna
1001,Karol Szymanski,1,7,1.3,9,2019/20 - wiosna
1214,Filip Szymczak,4,6,0.7,7,2019/20 - wiosna
88,Dawid Szymonowicz,2,1,1.0,8,2019/20 - wiosna
1128,Patryk Szysz,4,16,1.7,35,2019/20 - wiosna
1368,Mark Tamas,2,11,1.7,25,2019/20 - wiosna
1000,Pedro Tiba,3,6,2.4,65,2019/20 - wiosna
1340,David Tijanic,3,10,2.0,45,2019/20 - wiosna
1355,Bogdan Tiru,2,3,1.8,35,2019/20 - wiosna
1335,Kristers Tobers,3,5,1.6,21,2019/20 - wiosna
69,Piotr Tomasik,2,15,1.8,37,2019/20 - wiosna
521,Pawel Tomczyk,4,12,1.6,0,2019/20 - wiosna
1326,Krzysztof Toporkiewicz,4,3,0.5,0,2019/20 - wiosna
1249,Kostas Triantafyllopoulos,2,9,1.8,26,2019/20 - wiosna
1341,Fran Tudor,3,10,2.0,54,2019/20 - wiosna
1353,Alon Turgeman,4,14,2.1,46,2019/20 - wiosna
1388,Hubert Turski,4,9,0.9,11,2019/20 - wiosna
755,Patryk Tuszynski,4,15,1.8,40,2019/20 - wiosna
958,Zarko Udovicic,3,5,1.6,3,2019/20 - wiosna
1327,Kacper Urbanski,3,5,0.5,6,2019/20 - wiosna
374,Alan Uryga,2,15,1.9,63,2019/20 - wiosna
1187,Pelle van Amersfoort,4,1,1.9,49,2019/20 - wiosna
1207,Mickey van der Hart,1,6,2.0,51,2019/20 - wiosna
1380,Stavros Vassilantonopoulos,2,2,1.8,47,2019/20 - wiosna
31,Tomas Vestenicky,3,1,1.7,12,2019/20 - wiosna
788,Marko Vesovic,3,4,2.3,37,2019/20 - wiosna
1374,Kristopher Vida,3,7,1.8,34,2019/20 - wiosna
1047,Egy Maulana Vikri,3,5,0.8,0,2019/20 - wiosna
1403,Damian Warchol,3,4,0.7,6,2019/20 - wiosna
633,Mateusz Wdowiak,3,1,2.0,39,2019/20 - wiosna
1363,Bartlomiej Wdowik,2,3,1.2,12,2019/20 - wiosna
491,Mateusz Wieteska,2,4,2.0,45,2019/20 - wiosna
5,Adam Wilk,1,1,0.8,0,2019/20 - wiosna
1399,Jakub Witek,3,15,0.5,1,2019/20 - wiosna
992,Przemyslaw Wisniewski,2,2,1.8,42,2019/20 - wiosna
706,Kamil Wojtkowski,3,3,1.7,25,2019/20 - wiosna
184,Rafal Wolski,3,15,1.7,0,2019/20 - wiosna
658,Lukasz Wolsztynski,4,2,1.6,26,2019/20 - wiosna
486,Jakub Wrobel,4,12,1.4,24,2019/20 - wiosna
691,Jakub Wrabel,1,15,1.3,0,2019/20 - wiosna
1319,Pawel Wszolek,3,4,3.2,56,2019/20 - wiosna
14,Jakub Wojcicki,2,16,1.7,20,2019/20 - wiosna
1252,Marcel Wedrychowski,3,9,0.6,1,2019/20 - wiosna
57,Damian Weglarz,1,3,1.8,31,2019/20 - wiosna
1406,Szymon Wlodarczyk,4,4,0.5,3,2019/20 - wiosna
1188,Patryk Zaucha,3,1,0.5,0,2019/20 - wiosna
795,Oskar Zawada,4,10,1.6,30,2019/20 - wiosna
391,Damian Zbozien,2,15,1.6,21,2019/20 - wiosna
1250,Benedikt Zech,2,9,1.9,36,2019/20 - wiosna
1317,Diego Zivulic,3,11,1.7,19,2019/20 - wiosna
279,Lukasz Zwolinski,4,5,2.1,46,2019/20 - wiosna
1364,Jose Ze Gomes,4,5,1.7,29,2019/20 - wiosna
1104,Bojan Cecaric,4,1,1.7,17,2019/20 - wiosna
1020,Jakub Labojko,3,11,1.8,40,2019/20 - wiosna
723,Igor Lasicki,2,9,1.7,6,2019/20 - wiosna
583,Adrian Lyszczarz,3,11,1.4,5,2019/20 - wiosna
1305,Daniel Scislak,3,2,1.6,16,2019/20 - wiosna
1209,Lubomir Satka,2,6,2.3,60,2019/20 - wiosna
412,Pavels Steinbors,1,3,2.0,23,2019/20 - wiosna
1273,Dino Stiglec,2,11,2.1,55,2019/20 - wiosna
1140,Timur Zamaletdinow,4,6,1.7,20,2019/20 - wiosna
531,Jakub Zubrowski,3,16,1.5,23,2019/20 - wiosna
1216,Pawel Zuk,3,15,0.8,4,2019/20 - wiosna
1325,Gieorgij Zukow,3,14,1.8,33,2019/20 - wiosna
1121,Maciej Zurawski,3,9,1.4,22,2019/20 - wiosna
1029,Bartlomiej Zynel,1,15,1.2,0,2019/20 - wiosna
1085,Michal Zyro,4,7,1.8,0,2019/20 - wiosna
248,Sasa Zivec,3,16,2.5,59,2019/20 - wiosna
