id,name,position,club,value,points,status
272,Mateusz Matras,3,12,1.5,0,active
260,Hubert Matynia,2,9,2.2,0,active
1372,Mateusz Mackowiak,2,11,1.0,0,active
1516,Adi Mehremic,2,14,1.6,0,active
487,Giorgi Merebaszwili,3,15,2.0,0,active
1552,Serhij Miakuszko,3,8,1.8,0,active
1280,Damian Michalski,2,15,1.5,0,active
1037,Kacper Michalski,2,2,1.4,0,active
532,Jaroslav Mihalik,3,5,1.8,0,active
1006,Daniel Mikolajewski,2,10,1.5,0,active
964,Sebastian Milewski,3,7,1.9,0,active
1573,Antonio Milic,2,6,2.1,0,active
1577,Eryk Mirus,1,5,0.5,0,active
1217,Cezary Miszta,1,4,0.5,0,inactive
786,Filip Mladenovic,2,4,2.8,0,active
1417,Filip Modelski,2,8,1.2,0,active
231,Tomasz Mokwa,2,7,1.5,0,active
1278,Patryk Moskiewicz,3,14,0.5,0,active
1386,Ariel Mosor,2,4,0.7,0,active
1418,Szymon Mroczko,2,8,1.2,0,active
1484,Bartlomiej Mruk,2,9,0.7,0,active
1522,Samuel Mraz,4,16,1.9,0,active
1212,Karlo Muhar,3,6,1.8,0,out of club
1563,Mykola Musolitin,2,5,1.7,0,active
1137,Lubambo Musonda,3,11,1.7,0,active
1289,Wojciech Muzyk,1,4,1.0,0,active
81,Przemyslaw Mystkowski,3,3,1.7,0,active
1469,Jakub Myszor,3,1,0.5,0,active
1072,Ivan Marquez,2,1,1.7,0,active
371,Krzysztof Maczynski,3,11,1.9,0,active
681,Michal Nalepa,2,5,1.9,0,active
996,Mikolaj Nawrocki,3,3,0.7,0,active
991,Bartosz Neugebauer,1,2,0.5,0,active
23,Karol Niemczycki,1,1,2.0,0,active
262,David Niepsuj,2,14,1.7,0,active
1519,Jakub Niewiadomski,2,6,0.5,0,active
1258,Andrzej Niewulis,2,10,2.0,0,active
1404,Nikodem Niski,2,4,0.5,0,active
480,Bartosz Nowak,3,2,2.4,0,active
967,Tomasz Nowak,3,8,1.6,0,active
1554,Milan Obradovic,2,15,1.7,0,active
829,Damian Oko,2,16,1.6,0,active
63,Pawel Olszewski,2,3,1.7,0,active
927,Kornel Osyra,2,8,1.6,0,active
1541,Piotr Owczarek,3,10,0.5,0,active
985,Robert Ozog,3,1,0.5,0,active
172,Flavio Paixao,4,5,2.5,0,active
831,Dawid Pakulski,3,16,1.5,0,active
